pool_size,method,requested_budget,actual_k,mean_test_normalized_w1,normalized_auec,algorithm_repetitions
128,GB-Persona,4,4,0.03442374465812,0.0189371600002184,1
128,GB-Persona,8,8,0.0279090831043959,0.0189371600002184,1
128,GB-Persona,16,16,0.0160023656898661,0.0189371600002184,1
128,GB-Persona,32,21,0.0127387629731384,0.0189371600002184,1
128,Demographic Stratified,4,4,0.0441274944673386,0.0223027343750004,20
128,Demographic Stratified,8,8,0.0323140262515266,0.0223027343750004,20
128,Demographic Stratified,16,16,0.0180857610271676,0.0223027343750004,20
128,Demographic Stratified,32,21,0.0156635354662702,0.0223027343750004,20
128,K-means,4,4,0.0345746766254583,0.0226898694373587,20
128,K-means,8,8,0.0274947582799149,0.0226898694373587,20
128,K-means,16,16,0.021835348462302,0.0226898694373587,20
128,K-means,32,21,0.0173967824710016,0.0226898694373587,20
128,Behavior K-medoids,4,4,0.0463029418498173,0.0241766043356449,1
128,Behavior K-medoids,8,8,0.0298274858821738,0.0241766043356449,1
128,Behavior K-medoids,16,16,0.0209782795329674,0.0241766043356449,1
128,Behavior K-medoids,32,21,0.0192043460012214,0.0241766043356449,1
128,Spectral Clustering,4,4,0.0461396663232605,0.0256926473514089,20
128,Spectral Clustering,8,8,0.0347074938949943,0.0256926473514089,20
128,Spectral Clustering,16,16,0.0203198212377904,0.0256926473514089,20
128,Spectral Clustering,32,21,0.0218789968711847,0.0256926473514089,20
128,Weighted Random,4,4,0.0566283649076621,0.0261551898002795,20
128,Weighted Random,8,8,0.0362496923649271,0.0261551898002795,20
128,Weighted Random,16,16,0.0213023361187428,0.0261551898002795,20
128,Weighted Random,32,21,0.0182452996222531,0.0261551898002795,20
128,DBSCAN,4,4,0.0602261237026866,0.051765569809655,1
128,DBSCAN,8,8,0.0557268772893777,0.051765569809655,1
128,DBSCAN,16,16,0.0495560992826621,0.051765569809655,1
128,DBSCAN,32,21,0.0499936565170943,0.051765569809655,1
128,Density Peaks,4,4,0.0575067250457879,0.0547105538930319,1
128,Density Peaks,8,8,0.0508209325396829,0.0547105538930319,1
128,Density Peaks,16,16,0.0565130399114777,0.0547105538930319,1
128,Density Peaks,32,21,0.0542249980921859,0.0547105538930319,1
64,GB-Persona,2,2,0.0734800442612945,0.0281451001875112,1
64,GB-Persona,4,4,0.0342322954822957,0.0281451001875112,1
64,GB-Persona,8,8,0.0281391178266181,0.0281451001875112,1
64,GB-Persona,16,16,0.0122549412393165,0.0281451001875112,1
64,Demographic Stratified,2,2,0.0606033606150796,0.0322225135046008,20
64,Demographic Stratified,4,4,0.0398685420482298,0.0322225135046008,20
64,Demographic Stratified,8,8,0.0318156812805253,0.0322225135046008,20
64,Demographic Stratified,16,16,0.0200030286553726,0.0322225135046008,20
64,K-means,2,2,0.0706187996031748,0.0330333336058785,20
64,K-means,4,4,0.0464159416971919,0.0330333336058785,20
64,K-means,8,8,0.0257732657967035,0.0330333336058785,20
64,K-means,16,16,0.0244901127518317,0.0330333336058785,20
64,Weighted Random,2,2,0.0768127480158733,0.0340762730573001,20
64,Weighted Random,4,4,0.0435593330280833,0.0340762730573001,20
64,Weighted Random,8,8,0.0320659436050064,0.0340762730573001,20
64,Weighted Random,16,16,0.01929535351801,0.0340762730573001,20
64,Behavior K-medoids,2,2,0.0523011103479856,0.0347636422357407,1
64,Behavior K-medoids,4,4,0.0449830204517706,0.0347636422357407,1
64,Behavior K-medoids,8,8,0.0356764155982908,0.0347636422357407,1
64,Behavior K-medoids,16,16,0.0213455815018318,0.0347636422357407,1
64,Spectral Clustering,2,2,0.053999446733822,0.0358449509010337,20
64,Spectral Clustering,4,4,0.0488351696047011,0.0358449509010337,20
64,Spectral Clustering,8,8,0.0372299441010381,0.0358449509010337,20
64,Spectral Clustering,16,16,0.0194861731150796,0.0358449509010337,20
64,DBSCAN,2,2,0.0606035370879123,0.046378164246468,1
64,DBSCAN,4,4,0.0495962110805863,0.046378164246468,1
64,DBSCAN,8,8,0.0444584668803421,0.046378164246468,1
64,DBSCAN,16,16,0.0432878319597071,0.046378164246468,1
64,Density Peaks,2,2,0.0484056394993897,0.0545887092817898,1
64,Density Peaks,4,4,0.0611938148656901,0.0545887092817898,1
64,Density Peaks,8,8,0.058262648809524,0.0545887092817898,1
64,Density Peaks,16,16,0.0456697382478634,0.0545887092817898,1
